ModelProfil
Date,P
2014-01-01 00:00:00,8.011138
2014-01-01 01:00:00,8.720350
2014-01-01 02:00:00,4.782300
2014-01-01 03:00:00,4.594406
2014-01-01 04:00:00,9.439971
2014-01-01 05:00:00,5.889745
2014-01-01 06:00:00,2.754966
2014-01-01 07:00:00,6.455411
2014-01-01 08:00:00,4.009660
2014-01-01 09:00:00,5.422160
2014-01-01 10:00:00,8.150891
2014-01-01 11:00:00,2.020799
2014-01-01 12:00:00,1.812756
2014-01-01 13:00:00,7.575501
2014-01-01 14:00:00,2.278577
2014-01-01 15:00:00,7.786686
2014-01-01 16:00:00,1.382563
2014-01-01 17:00:00,8.778133
2014-01-01 18:00:00,7.649034
2014-01-01 19:00:00,9.104530
2014-01-01 20:00:00,3.066252
2014-01-01 21:00:00,4.156830
2014-01-01 22:00:00,7.028260
2014-01-01 23:00:00,9.731364
2014-01-02 00:00:00,2.588899
2014-01-02 01:00:00,9.170815
2014-01-02 02:00:00,0.115720
2014-01-02 03:00:00,1.246480
2014-01-02 04:00:00,2.056200
2014-01-02 05:00:00,5.924845
2014-01-02 06:00:00,1.516828
2014-01-02 07:00:00,1.782284
2014-01-02 08:00:00,9.494079
2014-01-02 09:00:00,0.665802
2014-01-02 10:00:00,8.526185
2014-01-02 11:00:00,3.836386
2014-01-02 12:00:00,9.546979
2014-01-02 13:00:00,6.677373
2014-01-02 14:00:00,1.194099
2014-01-02 15:00:00,7.461558
2014-01-02 16:00:00,2.323763
2014-01-02 17:00:00,5.428444
2014-01-02 18:00:00,2.477950
2014-01-02 19:00:00,4.723707
2014-01-02 20:00:00,3.638283
2014-01-02 21:00:00,6.394424
2014-01-02 22:00:00,7.589839
2014-01-02 23:00:00,1.242626
2014-01-03 00:00:00,8.822847
2014-01-03 01:00:00,9.229088
2014-01-03 02:00:00,8.234641
2014-01-03 03:00:00,7.135428
2014-01-03 04:00:00,9.397292
2014-01-03 05:00:00,5.410945
2014-01-03 06:00:00,4.720152
2014-01-03 07:00:00,0.220379
2014-01-03 08:00:00,3.134651
2014-01-03 09:00:00,5.535652
2014-01-03 10:00:00,6.347653
2014-01-03 11:00:00,3.717401
2014-01-03 12:00:00,5.708466
2014-01-03 13:00:00,7.501824
2014-01-03 14:00:00,4.802670
2014-01-03 15:00:00,2.918877
2014-01-03 16:00:00,8.962106
2014-01-03 17:00:00,7.462753
2014-01-03 18:00:00,6.014673
2014-01-03 19:00:00,9.668519
2014-01-03 20:00:00,2.144701
2014-01-03 21:00:00,8.687796
2014-01-03 22:00:00,0.579777
2014-01-03 23:00:00,8.051575
2014-01-04 00:00:00,6.863299
2014-01-04 01:00:00,8.991442
2014-01-04 02:00:00,0.182498
2014-01-04 03:00:00,4.472618
2014-01-04 04:00:00,5.982442
2014-01-04 05:00:00,8.930113
2014-01-04 06:00:00,8.419825
2014-01-04 07:00:00,3.824616
2014-01-04 08:00:00,0.119805
2014-01-04 09:00:00,2.567983
2014-01-04 10:00:00,3.841247
2014-01-04 11:00:00,4.575091
2014-01-04 12:00:00,4.996098
2014-01-04 13:00:00,2.653822
2014-01-04 14:00:00,4.403809
2014-01-04 15:00:00,5.169456
2014-01-04 16:00:00,9.620357
2014-01-04 17:00:00,4.572164
2014-01-04 18:00:00,3.287517
2014-01-04 19:00:00,2.310131
2014-01-04 20:00:00,4.938625
2014-01-04 21:00:00,7.118195
2014-01-04 22:00:00,4.866097
2014-01-04 23:00:00,5.582490
2014-01-05 00:00:00,0.317175
2014-01-05 01:00:00,7.407321
2014-01-05 02:00:00,9.487385
2014-01-05 03:00:00,9.491794
2014-01-05 04:00:00,1.274057
2014-01-05 05:00:00,9.435703
2014-01-05 06:00:00,5.867688
2014-01-05 07:00:00,6.815607
2014-01-05 08:00:00,9.535471
2014-01-05 09:00:00,0.919417
2014-01-05 10:00:00,5.160432
2014-01-05 11:00:00,9.796813
2014-01-05 12:00:00,6.512408
2014-01-05 13:00:00,4.582885
2014-01-05 14:00:00,6.810117
2014-01-05 15:00:00,8.489305
2014-01-05 16:00:00,3.131232
2014-01-05 17:00:00,8.065923
2014-01-05 18:00:00,3.474767
2014-01-05 19:00:00,2.200940
2014-01-05 20:00:00,8.077091
2014-01-05 21:00:00,9.384246
2014-01-05 22:00:00,3.304707
2014-01-05 23:00:00,2.136867
2014-01-06 00:00:00,0.929998
2014-01-06 01:00:00,3.054530
2014-01-06 02:00:00,4.594252
2014-01-06 03:00:00,1.761058
2014-01-06 04:00:00,5.415703
2014-01-06 05:00:00,2.673392
2014-01-06 06:00:00,6.977441
2014-01-06 07:00:00,4.690584
2014-01-06 08:00:00,7.121483
2014-01-06 09:00:00,0.752751
2014-01-06 10:00:00,3.068866
2014-01-06 11:00:00,3.286036
2014-01-06 12:00:00,8.328172
2014-01-06 13:00:00,0.363644
2014-01-06 14:00:00,1.225356
2014-01-06 15:00:00,3.243107
2014-01-06 16:00:00,9.145569
2014-01-06 17:00:00,7.479049
2014-01-06 18:00:00,8.819649
2014-01-06 19:00:00,6.719819
2014-01-06 20:00:00,0.197039
2014-01-06 21:00:00,0.441157
2014-01-06 22:00:00,7.521179
2014-01-06 23:00:00,7.059611
2014-01-07 00:00:00,1.562484
2014-01-07 01:00:00,2.276884
2014-01-07 02:00:00,6.110810
2014-01-07 03:00:00,0.445500
2014-01-07 04:00:00,7.855124
2014-01-07 05:00:00,1.145042
2014-01-07 06:00:00,0.311985
2014-01-07 07:00:00,3.994736
2014-01-07 08:00:00,2.959997
2014-01-07 09:00:00,6.637296
2014-01-07 10:00:00,5.409474
2014-01-07 11:00:00,2.817002
2014-01-07 12:00:00,4.630821
2014-01-07 13:00:00,0.761401
2014-01-07 14:00:00,4.719278
2014-01-07 15:00:00,9.359754
2014-01-07 16:00:00,1.637755
2014-01-07 17:00:00,3.399896
2014-01-07 18:00:00,3.115108
2014-01-07 19:00:00,3.339128
2014-01-07 20:00:00,6.302548
2014-01-07 21:00:00,8.543692
2014-01-07 22:00:00,3.130642
2014-01-07 23:00:00,5.686401
