ModelProfil
Date,P
2014-01-01 00:00:00,9.747365
2014-01-01 01:00:00,0.454660
2014-01-01 02:00:00,3.558731
2014-01-01 03:00:00,6.369367
2014-01-01 04:00:00,9.855993
2014-01-01 05:00:00,1.057657
2014-01-01 06:00:00,0.070136
2014-01-01 07:00:00,6.639530
2014-01-01 08:00:00,4.449440
2014-01-01 09:00:00,2.750364
2014-01-01 10:00:00,8.858322
2014-01-01 11:00:00,1.971121
2014-01-01 12:00:00,6.985961
2014-01-01 13:00:00,6.894683
2014-01-01 14:00:00,1.871374
2014-01-01 15:00:00,9.504687
2014-01-01 16:00:00,8.538179
2014-01-01 17:00:00,3.154710
2014-01-01 18:00:00,9.891835
2014-01-01 19:00:00,3.421967
2014-01-01 20:00:00,8.444069
2014-01-01 21:00:00,2.042575
2014-01-01 22:00:00,1.305837
2014-01-01 23:00:00,8.096069
2014-01-02 00:00:00,1.138232
2014-01-02 01:00:00,8.546149
2014-01-02 02:00:00,2.517789
2014-01-02 03:00:00,9.189200
2014-01-02 04:00:00,9.354024
2014-01-02 05:00:00,5.946518
2014-01-02 06:00:00,9.720143
2014-01-02 07:00:00,5.547595
2014-01-02 08:00:00,9.799607
2014-01-02 09:00:00,8.752966
2014-01-02 10:00:00,4.583869
2014-01-02 11:00:00,5.509549
2014-01-02 12:00:00,6.643400
2014-01-02 13:00:00,7.597076
2014-01-02 14:00:00,0.433479
2014-01-02 15:00:00,4.483482
2014-01-02 16:00:00,3.712894
2014-01-02 17:00:00,1.035138
2014-01-02 18:00:00,4.496466
2014-01-02 19:00:00,8.096936
2014-01-02 20:00:00,0.051719
2014-01-02 21:00:00,6.255102
2014-01-02 22:00:00,7.648752
2014-01-02 23:00:00,4.332599
2014-01-03 00:00:00,7.830497
2014-01-03 01:00:00,0.109818
2014-01-03 02:00:00,2.910634
2014-01-03 03:00:00,4.979246
2014-01-03 04:00:00,1.751326
2014-01-03 05:00:00,3.898201
2014-01-03 06:00:00,2.942300
2014-01-03 07:00:00,0.405440
2014-01-03 08:00:00,2.282457
2014-01-03 09:00:00,1.646003
2014-01-03 10:00:00,1.363158
2014-01-03 11:00:00,8.661445
2014-01-03 12:00:00,6.030273
2014-01-03 13:00:00,8.972454
2014-01-03 14:00:00,9.005197
2014-01-03 15:00:00,6.208682
2014-01-03 16:00:00,8.965920
2014-01-03 17:00:00,3.441443
2014-01-03 18:00:00,9.622784
2014-01-03 19:00:00,2.189264
2014-01-03 20:00:00,1.518115
2014-01-03 21:00:00,5.814629
2014-01-03 22:00:00,2.168625
2014-01-03 23:00:00,3.248223
2014-01-04 00:00:00,8.610712
2014-01-04 01:00:00,8.596950
2014-01-04 02:00:00,9.456443
2014-01-04 03:00:00,4.929266
2014-01-04 04:00:00,0.549922
2014-01-04 05:00:00,3.024892
2014-01-04 06:00:00,5.949820
2014-01-04 07:00:00,8.649300
2014-01-04 08:00:00,2.857619
2014-01-04 09:00:00,9.297160
2014-01-04 10:00:00,4.294821
2014-01-04 11:00:00,0.983528
2014-01-04 12:00:00,8.887780
2014-01-04 13:00:00,3.156106
2014-01-04 14:00:00,3.803274
